site_id,name,latitude,longitude,operator,n_refill_points,max_power_kw,connector_types,type_of_site
2024006733,C8A233S023JWYRSBPP-,41.627865,0.6241336,"CEPSA COMERCIAL PETRÓLEO,S.A.U.",1,180.0,iec62196T2COMBO,other
2024006732,HYC22BZ3240A-,41.627865,0.6241336,"CEPSA COMERCIAL PETRÓLEO,S.A.U.",1,150.0,iec62196T2COMBO,other
2024006731,HYC22BZ1814A-,41.316444,2.070028,"CEPSA COMERCIAL PETRÓLEO,S.A.U.",1,150.0,iec62196T2COMBO,other
2024006730,HYC22BZ1881A-,41.316444,2.070028,"CEPSA COMERCIAL PETRÓLEO,S.A.U.",1,150.0,iec62196T2COMBO,other
2024006729,22XP22T3QQ1AN00844-,42.65061,-3.069667,"CEPSA COMERCIAL PETRÓLEO,S.A.U.",1,44.0,iec62196T2COMBO,other
2024006728,22XP22T3QQ1AN00814-,42.65061,-3.069667,"CEPSA COMERCIAL PETRÓLEO,S.A.U.",1,44.0,iec62196T2COMBO,other
2024006727,22XP22T3QQ1AN00845-,42.651974,-3.068028,"CEPSA COMERCIAL PETRÓLEO,S.A.U.",1,44.0,iec62196T2COMBO,other
2024006726,22XP22T3QQ1AN00852-,42.528862,-3.332083,"CEPSA COMERCIAL PETRÓLEO,S.A.U.",1,44.0,iec62196T2COMBO,other
2024006725,22XP22T3QQ1AN00839-,42.651974,-3.068028,"CEPSA COMERCIAL PETRÓLEO,S.A.U.",1,44.0,iec62196T2COMBO,other
2024006724,22XP22T3QQ1AN00823-,42.526028,-3.334111,"CEPSA COMERCIAL PETRÓLEO,S.A.U.",1,44.0,iec62196T2COMBO,other
2024006723,HYC23BZ0208A-,40.4021,-3.676106,"CEPSA COMERCIAL PETRÓLEO,S.A.U.",1,150.0,iec62196T2COMBO,other
2024006722,HYC22BZ2911A-,39.581722,2.678806,"CEPSA COMERCIAL PETRÓLEO,S.A.U.",1,150.0,iec62196T2COMBO,other
2024006721,HYC23BZ0200A-,40.432934,-3.633964,"CEPSA COMERCIAL PETRÓLEO,S.A.U.",1,150.0,iec62196T2COMBO,other
2024006720,HYC23BZ0214A-,42.820545,-1.655826,"CEPSA COMERCIAL PETRÓLEO,S.A.U.",1,150.0,iec62196T2COMBO,other
2024006719,HYC22BZ3233A-,43.36564,-8.418917,"CEPSA COMERCIAL PETRÓLEO,S.A.U.",1,150.0,iec62196T2COMBO,other
2024006718,HYC23BZ0216A-,42.820545,-1.655826,"CEPSA COMERCIAL PETRÓLEO,S.A.U.",1,150.0,iec62196T2COMBO,other
