Carretera,Tipo_de_via,length_m,nearest_station_m,has_gap
A-2,Autopista libre\Autovía,13997.286148386143,817.5899288002158,False
A-2,Autopista libre\Autovía,14969.638070050865,2822.760223508032,False
A-2,Autopista libre\Autovía,15215.897295463794,6402.375986009589,False
A-2,Autopista libre\Autovía,4074.247741866159,1864.04955054725,False
A-2,Autopista libre\Autovía,60727.46996374395,1350.5756137222022,False
A-2,Autopista libre\Autovía,63431.40295280495,8269.223702229225,False
A-2,Autopista libre\Autovía,19539.215312002863,216.44337731902147,False
A-2,Autopista libre\Autovía,6232.325884182119,1325.9071856594337,False
A-2,Autopista libre\Autovía,16297.061831247196,4746.648869771962,False
A-2,Multicarril,3272.920991089572,3812.5187137487105,False
A-21,Autopista libre\Autovía,45283.78995547535,16880.295275068678,False
A-21,Autopista libre\Autovía,0.1032279516926696,3967.1337474448897,False
A-21,Autopista libre\Autovía,3656.7811789789134,5673.561957922458,False
A-21,Autopista libre\Autovía,0.771241492232109,7420.488166012694,False
A-21,Autopista libre\Autovía,7047.368511294362,10769.281410646829,False
A-21,Autopista libre\Autovía,10431.46483271467,9684.960473476462,False
A-21,Autopista libre\Autovía,3.323388828862692,7505.019617175626,False
A-21,Autopista libre\Autovía,5834.115480139603,5823.053070143122,False
A-21,Autopista libre\Autovía,9361.345349082318,1980.1092851681528,False
A-22,Autopista libre\Autovía,17796.188458816752,4740.711426542614,False
A-22,Autopista libre\Autovía,3.001697243472965,11091.864062332468,False
A-22,Autopista libre\Autovía,1302.5067281430922,10452.063036695903,False
A-22,Autopista libre\Autovía,74984.8644065613,5817.649261393017,False
A-22,Autopista libre\Autovía,252.36303837529988,8864.318274090576,False
A-22,Autopista libre\Autovía,13221.287196676738,3050.8581215347053,False
A-23,Autopista libre\Autovía,2310.360521197967,2826.2562992879807,False
A-23,Autopista libre\Autovía,114519.06588523618,10206.065783032129,False
A-23,Autopista libre\Autovía,59162.621122532066,22582.34980523711,False
A-23,Autopista libre\Autovía,33617.61758218024,7272.59152564718,False
A-23,Autopista libre\Autovía,67185.27526753179,5105.841707922492,False
A-23,Autopista libre\Autovía,666.4176990976334,3121.9653922042767,False
A-23,Autopista libre\Autovía,7137.740897748984,1505.7349226163512,False
A-23,Autopista libre\Autovía,63129.98228928077,11047.437436813458,False
A-23,Autopista libre\Autovía,18944.032236167724,10668.190960476522,False
A-23,Autopista libre\Autovía,4.020794057777195,18837.154580936214,False
A-23,Autopista libre\Autovía,2755.1392713773766,19919.63756301022,False
A-23,Autopista libre\Autovía,15.635710312846763,20781.198303528665,False
A-23,Autopista libre\Autovía,8191.113543605428,18454.569937440527,False
A-23,Autopista libre\Autovía,5023.157275491006,13938.201477276989,False
A-23,Autopista libre\Autovía,3073.367595909528,3003.9599689855913,False
A-23,Autopista libre\Autovía,1.0044380543189886,1917.8212939276,False
A-23,Autopista libre\Autovía,10691.798902566004,6500.523163238096,False
A-23,Autopista libre\Autovía,22.787593393988796,1498.311854616058,False
A-26,Autopista libre\Autovía,19995.333769674355,8205.772975892694,False
A-27,Autopista libre\Autovía,3929.3464368908653,1036.331379886233,False
A-27,Autopista libre\Autovía,25313.448421941477,2448.0002040533245,False
A-3,Autopista libre\Autovía,2991.106040653273,1172.9436639820144,False
A-3,Autopista libre\Autovía,26125.58407869859,1059.313904683672,False
A-3,Autopista libre\Autovía,47021.14988671225,5414.149935034275,False
A-3,Autopista libre\Autovía,4574.689812977103,1700.4451509174726,False
A-3,Autopista libre\Autovía,92788.64180907173,7860.107304045982,False
A-3,Autopista libre\Autovía,148867.62498717217,3722.4642134510395,False
A-3,Autopista libre\Autovía,12504.524530203716,865.2268361972347,False
A-3,Autopista libre\Autovía,8104.669388712749,272.9001396996837,False
A-3,Autopista libre\Autovía,3768.620969597589,769.866684264109,False
A-30,Autopista libre\Autovía,110227.51563939921,7404.890877900807,False
