Carretera,Tipo_de_via,n_segments,total_length_m,mean_segment_length_m,mean_nearest_station_m,max_nearest_station_m,n_gaps,gap_ratio,n_stations,total_refill_points,mean_max_power_kw,max_max_power_kw,mean_lat,mean_lon,n_operators,has_chademo,has_ccs,nearest_grid_dist_deg,grid_capacity_occupied_mw,grid_capacity_pending_mw,max_voltage_kv,comunidad_autonoma,provincia,ev_fleet_2027,ev_registrations_2026,ev_registrations_2027,ev_growth_rate,road_type_rank,stations_per_100km,refill_points_per_100km,needs_more_stations
A-92,Autopista libre\Autovía,7,392780.6891190133,56111.5270170019,7553.682498504674,14237.949105209866,0,0.0,46,169,81.72,400.0,37.22139847826087,-4.323150717391305,9,True,True,0.08311589488463642,0.0,0.0,132.0,01 - Andalucía,Málaga,327883,76108,88118,1.1578020707415777,4,11.711370053139733,43.026555195230756,0
A-92M,Autopista libre\Autovía,1,26110.949723056805,26110.949723056805,3567.372402658598,3567.372402658598,0,0.0,2,2,45.0,50.0,37.0447085,-4.359225,1,True,True,0.09237159417306652,16.86,0.0,132.0,01 - Andalucía,Málaga,327883,76108,88118,1.1578020707415777,4,7.6596218108219025,7.6596218108219025,0
A-92N,Autopista libre\Autovía,1,119057.66071564837,119057.66071564837,3854.069222389821,3854.069222389821,0,0.0,9,30,96.66666666666667,150.0,37.490162444444444,-2.7619795555555555,3,True,True,0.005797933685344506,50.22,0.0,132.0,01 - Andalucía,Granada,327883,76108,88118,1.1578020707415777,4,7.559362367697759,25.197874558992527,0
AC-10,Multicarril,1,1267.3516711803854,1267.3516711803854,443.57669104881217,443.57669104881217,0,0.0,0,0,0.0,0.0,,,0,False,False,,,,,,,327883,76108,88118,1.1578020707415777,2,0.0,0.0,1
AC-11,Multicarril,4,10188.058395287135,2547.0145988217837,308.1566157663302,445.5022298039013,0,0.0,9,15,41.666666666666664,60.0,43.353345000000004,-8.405209444444445,2,True,True,0.5221800070927018,28.28,0.0,132.0,12 - Galicia,A Coruña,327883,76108,88118,1.1578020707415777,2,88.33871627751255,147.23119379585424,0
AC-12,Multicarril,2,8073.025101585359,4036.5125507926796,1189.5180530213247,1360.4681311736458,0,0.0,9,25,109.28555555555556,320.0,43.33717733333333,-8.375894111111112,7,True,True,0.4969249237167208,28.28,0.0,132.0,12 - Galicia,A Coruña,327883,76108,88118,1.1578020707415777,2,111.48237354337725,309.6732598427146,0
AC-14,Autopista libre\Autovía,3,10690.591197549356,3563.530399183119,1997.0112823255524,2422.863557652531,0,0.0,2,3,100.0,150.0,43.347465,-8.419476,2,True,True,0.5373114905481093,28.28,0.0,132.0,12 - Galicia,A Coruña,327883,76108,88118,1.1578020707415777,4,18.708039275306565,28.062058912959845,0
AC-15,Autopista libre\Autovía,1,5574.818556434279,5574.818556434279,1178.6542202217115,1178.6542202217115,0,0.0,2,3,55.0,60.0,43.340162500000005,-8.4574395,2,True,True,0.5759701976236562,28.28,0.0,132.0,12 - Galicia,A Coruña,327883,76108,88118,1.1578020707415777,4,35.875607066918136,53.8134106003772,0
AI-81,Autopista libre\Autovía,2,5011.753120150066,2505.876560075033,530.7485049026816,931.5266748336464,0,0.0,3,6,26.46666666666667,50.0,43.55163833333333,-5.879300333333333,2,True,True,1.0857564502705923,0.0,0.0,132.0,07 - C.León,León,327883,76108,88118,1.1578020707415777,4,59.859293306733576,119.71858661346715,0
AI-82,Autopista libre\Autovía,2,2194.9218011492335,1097.4609005746167,1383.4376575405822,1571.0880354995393,0,0.0,0,0,0.0,0.0,,,0,False,False,,,,,,,327883,76108,88118,1.1578020707415777,4,0.0,0.0,1
